video_id,width,height,duration_sec,frames_per_sec,users,urls
Q100001,480,360,46.04700088501,29.969999313354,"[""udono""]","[""http://www.flickr.com/videos/63522147@N00/3297012128/play/orig/a4837b79d0""]"
Q100002,544,360,11.911999702454,29.969999313354,"[""ursonate""]","[""http://www.flickr.com/videos/34034435@N00/5017401273/play/orig/4de0bb576e""]"
Q100003,640,360,52.15299987793,29.969999313354,"[""dmccauley17""]","[""http://www.flickr.com/videos/35771062@N07/12438051105/play/orig/ef69552ffd""]"
Q100004,640,360,23.958000183105,29.969999313354,"[""osseous""]","[""http://www.flickr.com/videos/10787737@N02/5503900241/play/orig/5419c913ef""]"
Q100005,480,352,60.027000427246,29.969999313354,"[""gamu25""]","[""http://www.flickr.com/videos/9055375@N05/5215215647/play/orig/8ba1186881""]"
Q100006,480,360,31.031999588013,29.969999313354,"[""Kojach""]","[""http://www.flickr.com/videos/37325040@N07/4046756799/play/orig/f77d46928e""]"
Q100007,640,360,25.025999069214,29.969999313354,"[""mrwynd""]","[""http://www.flickr.com/videos/71804876@N00/5770324588/play/orig/e5e26fe1e7""]"
Q100008,640,360,9.3430004119873,23.975999832153,"[""AaltoFablab""]","[""http://www.flickr.com/videos/70184309@N07/7520552670/play/orig/5588850d6f""]"
Q100009,392,294,32.833000183105,29.969999313354,"[""uncorrectedproofs"",""nicwn""]","[""http://www.flickr.com/videos/36346191@N02/3385976291/play/orig/25e0d38346"",""http://www.flickr.com/videos/12565361@N00/6567983871/play/orig/35b71d8cec""]"
Q100010,544,360,44.778999328613,29.969999313354,"[""mbaylor""]","[""http://www.flickr.com/videos/47469309@N00/4107883706/play/orig/90d849b777""]"
Q100011,480,360,60.027000427246,29.969999313354,"[""G-family.Hata""]","[""http://www.flickr.com/videos/64120273@N04/5842627431/play/orig/583bd6f696""]"
Q100012,480,360,37.512001037598,27.698167800903,"[""NoJo Foto"",""jencu"",""wetwebwork"",""dwhartwig"",""ysakaki""]","[""http://www.flickr.com/videos/48665630@N08/10192494165/play/orig/62c5bb4e11"",""http://www.flickr.com/videos/10581108@N00/7005328150/play/orig/0640005d1e"",""http://www.flickr.com/videos/82832950@N00/8367479856/play/orig/aec6a218f2"",""http://www.flickr.com/videos/9751269@N07/5253061164/play/orig/cf2f0a6d59"",""http://www.flickr.com/videos/33304338@N05/5004366422/play/orig/5d4919e558""]"
Q100013,720,360,37.638000488281,29.969999313354,"[""kodamapixel""]","[""http://www.flickr.com/videos/37831155@N06/13439280664/play/orig/65b732cef4""]"
Q100014,480,360,60.027000427246,29.969999313354,"[""roberthunt1987""]","[""http://www.flickr.com/videos/38321331@N08/4549673882/play/orig/0398aa04d7""]"
Q100015,480,360,89.98999786377,29.969999313354,"[""budawood""]","[""http://www.flickr.com/videos/14522052@N04/7868691812/play/orig/594c2f590a""]"
Q100016,480,360,28.929000854492,29.969999313354,"[""Eurritimia""]","[""http://www.flickr.com/videos/26631758@N00/5567433437/play/orig/b633aab530""]"
